Packet Count,Pkts_per_sec,Total Length,Bytes_per_sec,Norm Avg Interval,Norm Max Interval,Norm Min Interval,Avg Length (bytes),Max Length (bytes),Min Length (bytes),Most Common Length (bytes),Label
2309,57.848710914508445,1683228,42170.88348861248,1.2314432162220107e-17,24.550728904066084,-0.10239825511198546,728.985708098744,1514,54,1514,LinkedIn
3270,90.95179046109303,1970394,54804.545019509154,-1.0867891339249009e-17,28.699771088170134,-0.09600333618466013,602.5669724770643,1442,74,74,LinkedIn
2076,58.19149250470592,1279110,35854.20037461194,3.424302341012531e-18,34.70212962036462,-0.07477756940816141,616.1416184971098,1442,74,74,LinkedIn
3032,110.99137481340674,2057493,75317.93428065984,-9.377007400331246e-18,36.103869055785346,-0.08534727999730007,678.5926781002638,1442,74,1442,LinkedIn
3447,92.15997967186662,2249018,60130.38966105661,8.247739242717356e-18,44.166506869144584,-0.08786129942594204,652.4566289527125,1442,74,74,LinkedIn
2271,35.583824561685546,1416532,22195.343977989232,0.0,16.951204758138907,-0.11534798857672404,623.7481285777191,1442,74,74,LinkedIn
2882,62.829274613787994,1891438,41234.44743822135,0.0,32.1464243044277,-0.08066959723585941,656.293546148508,1442,74,74,LinkedIn
3381,68.80865716700166,2105797,42856.274426589946,4.204394886154439e-18,29.780417299716234,-0.07975597618210396,622.8325939071281,1442,74,74,LinkedIn
2905,14.220515721174193,1736438,8500.187221288907,2.9361270072731413e-17,22.463701042072532,-0.12139466034406439,597.7411359724613,1442,74,74,LinkedIn
3747,33.638593167420886,2450586,22000.07085022078,1.896803886172184e-18,30.92715980050981,-0.09869575866621128,654.0128102481985,1442,74,74,LinkedIn
2995,95.68065573227919,2176315,69526.29258096668,-7.119666690982967e-18,39.29906932996598,-0.07490396734546824,726.6494156928213,1514,54,1514,LinkedIn
3844,57.10455456211688,2591246,38494.26342114129,-4.622318083268932e-18,26.13384096635717,-0.11543479237921649,674.1014568158168,1514,54,54,LinkedIn
4187,45.77214843150151,2861188,31278.41457521637,6.7897060273301495e-18,26.88982496117596,-0.10371831043797608,683.3503701934559,1514,54,54,LinkedIn
3023,53.02720155109564,2237499,39248.53140700461,7.053700222635011e-18,24.594369149763196,-0.11165651827693125,740.1584518690044,1514,54,1514,LinkedIn
4574,65.14675331669115,3329542,47422.136277123405,1.2430224985962829e-17,25.82518594986051,-0.08999658242676034,727.927853082641,1514,54,1514,LinkedIn
2854,30.98727017100554,2025140,21987.93283605822,1.992408652674659e-17,30.447717369477843,-0.09994488811601523,709.5795374912403,1514,54,1514,LinkedIn
2951,48.186495289733344,2117768,34580.7583045571,-4.817238886509154e-18,26.671692667061333,-0.09925293860989667,717.6441884107082,1514,54,1514,LinkedIn
5181,37.530117539025674,3740392,27094.644161750883,-1.3717041230889965e-18,30.126645823553925,-0.10365358819225758,721.9440262497587,1514,54,54,LinkedIn
3619,78.35575121903925,2730920,59127.73918737183,-7.855641080819239e-18,28.36090512398186,-0.09371921676717115,754.6062448190107,1514,54,1514,LinkedIn
3438,110.09839587790069,2537626,81264.84931298826,6.202002348793426e-18,33.354694870440156,-0.08879746594912145,738.1111111111111,1514,54,1514,LinkedIn
4721,41.673185181996935,3131364,27641.159043473555,-6.021548608136442e-18,24.392616059324233,-0.11560465412654768,663.284049989409,1514,54,54,LinkedIn
4428,65.4254400795389,3245685,47956.27133797611,-1.2840166898759434e-17,23.321492072376472,-0.09939524789259302,732.9911924119241,1514,54,54,LinkedIn
4370,34.15349633210597,2810026,21961.60473320879,-6.505312298101169e-18,29.060916622440736,-0.1085950318578006,643.0265446224256,1514,54,54,LinkedIn
4623,50.00639709782472,3387208,36638.993792110894,-9.223834735094334e-18,38.80366778114921,-0.08095787615010648,732.686134544668,1514,54,54,LinkedIn
4527,18.53282543702875,3021893,12371.154287249641,0.0,24.924568299093867,-0.11586395786347456,667.5266180693616,1514,54,54,LinkedIn
4363,34.38193127776141,3085037,24311.146028730513,-1.6289379545165065e-17,25.692691463070318,-0.10034491134569204,707.0907632363053,1514,54,54,LinkedIn
4878,42.266113899604065,3408238,29531.155290069448,0.0,23.640271557999842,-0.11934123480329652,698.6957769577696,1514,54,54,LinkedIn
4699,22.01321004349171,3210172,15038.55937683249,-9.074619869222225e-18,27.374910958976155,-0.10398548231253274,683.1606724835071,1514,54,54,LinkedIn
7192,44.5316179347921,5207354,32243.033756842517,-7.904800286581562e-18,50.832087602895776,-0.0860141040007136,724.0481090100111,1514,54,54,LinkedIn
4564,49.21594492231095,3240035,34938.953572822036,-1.5571832911683108e-18,22.381324342656743,-0.09505797440774286,709.9112620508326,1514,74,74,LinkedIn
