,Packet Count,Total Length,Avg Interval (s),Max Interval (s),Min Interval (s),Avg Length (bytes),Max Length (bytes),Min Length (bytes),Most Common Length (bytes),Label
0,1157,905918,0.0382649160899654,4.988439999999997,0.0,782.9887640449438,1434,86,1434,ChatGPT
1,1369,1009091,0.03762468567251462,9.353463000000001,0.0,737.1008035062089,1434,86,1434,ChatGPT
2,2057,1439098,0.07055149416342413,15.034570000000002,0.0,699.6101118133204,1434,86,1434,ChatGPT
3,659,421478,0.07024142705167175,5.140540000000001,0.0,639.5720789074355,1434,86,1434,ChatGPT
4,1582,847846,0.0844454889310563,5.0997270000000015,0.0,535.9329962073325,1434,86,86,ChatGPT
5,412,253578,0.06552765693430657,2.516216,0.0,615.4805825242719,1434,86,1434,ChatGPT
6,1502,1157428,0.023048338441039307,3.2136790000000026,0.0,770.5912117177097,1434,86,1434,ChatGPT
7,1587,1087830,0.04525340731399748,6.5650209999999944,0.0,685.4631379962193,1434,86,1434,ChatGPT
8,1982,973849,0.017209531044926802,1.4559240000000004,0.0,491.3466195761857,1434,86,86,ChatGPT
9,512,304259,0.08304730136986302,11.884944999999998,0.0,594.255859375,1434,86,86,ChatGPT
10,927,762014,0.019915201943844496,4.6144940000000005,0.0,822.0215749730313,1434,86,1434,ChatGPT
11,3537,1481954,0.012855877828054299,2.8242019999999997,0.0,418.9861464517953,1434,86,86,ChatGPT
12,1104,858374,0.033415478694469626,10.239505000000001,0.0,777.5126811594203,1434,86,1434,ChatGPT
13,1313,953966,0.032956384908536585,2.5985650000000007,0.0,726.5544554455446,1434,86,1434,ChatGPT
14,1042,832833,0.01826137848222863,1.2687360000000005,0.0,799.2639155470249,1434,86,1434,ChatGPT
